dataset,model,roc,pr_auc,base_rate,prec_top10,rec_top10,lift_top10,prec_at_recall80
3_years_data.csv,LightGBM,0.7342111394362016,0.31122988672327184,0.16141881638846736,0.3577749683944374,0.22169996083039561,2.216439052145093,0.643157436938243
3_years_data.csv,LightGBM-Reg,0.7404600247504175,0.32882722356744426,0.16141881638846736,0.36553030303030304,0.22679200940070504,2.2644838514403736,0.3305309569181332
3_years_data.csv,XGBoost,0.6921682852369397,0.2602942456985343,0.16141881638846736,0.320480404551201,0.19858989424206816,1.9853968187942796,0.45053489556800813
3_years_data.csv,CatBoost,0.7231993654896205,0.2958755781849858,0.16141881638846736,0.35461441213653605,0.21974148061104584,2.196859201861126,0.5324363286881307
3_years_data.csv,RandomForest,0.7340430081252047,0.2972062342859565,0.16141881638846736,0.3331226295828066,0.20642381511946728,2.0637162199301486,0.9222556235098994
3_years_data.csv,LogReg,0.7518291478737178,0.3422081114022381,0.16141881638846736,0.3780025284450063,0.23423423423423423,2.3417500939624833,0.2779558740335659
3_years_data.csv,Ensemble,0.7259245664239616,0.29193027641682145,0.16141881638846736,0.3463969658659924,0.2146494320407364,2.145951591122811,0.548853068815871
3_years_data_no2025.csv,LightGBM,0.5366177648384394,0.3348971797540332,0.23783679007559605,0.37209302325581395,0.15647921760391198,1.5644889217414377,0.7447073474470735
3_years_data_no2025.csv,LightGBM-Reg,0.5559764571472158,0.29664559447331396,0.23783679007559605,0.32270531400966185,0.1361043194784026,1.3568351385296213,0.34244614613898233
3_years_data_no2025.csv,XGBoost,0.5420433328275882,0.3168733199366463,0.23783679007559605,0.3507751937984496,0.14751426242868787,1.4748567439333347,0.4618431221020093
3_years_data_no2025.csv,CatBoost,0.5172355989059323,0.3234553839817796,0.23783679007559605,0.3701550387596899,0.1556642216788916,1.556340541940701,0.5716167664670658
3_years_data_no2025.csv,RandomForest,0.5341002834660293,0.3037727378704304,0.23783679007559605,0.31589147286821706,0.1328443357783211,1.3281859075200748,0.8761818181818182
3_years_data_no2025.csv,LogReg,0.5477616733864449,0.2968052640225351,0.23783679007559605,0.31976744186046513,0.13447432762836187,1.3444826671215482,0.28902749182511805
3_years_data_no2025.csv,Ensemble,0.5321348208874419,0.32785803307303335,0.23783679007559605,0.37887596899224807,0.1593317033414833,1.593008251044016,0.5685297258810965
3_years_data_until_3871_clean.csv,LightGBM,0.757028533026667,0.32318505953635057,0.1622348154606219,0.3623819898329702,0.22346618898343037,2.2336881809498443,0.6580340418600863
3_years_data_until_3871_clean.csv,LightGBM-Reg,0.7774765762170031,0.3540180857502032,0.1622348154606219,0.3587509077705156,0.22122704881325572,2.2113065358501465,0.3308458731395301
3_years_data_until_3871_clean.csv,XGBoost,0.7300579139400427,0.2866178061337912,0.1622348154606219,0.3297022512708787,0.20331392745185847,2.0322533750525635,0.44827778086917813
3_years_data_until_3871_clean.csv,CatBoost,0.7559514893224025,0.3148187273430299,0.1622348154606219,0.3514887436456064,0.21674876847290642,2.1665432456507507,0.5397845144883893
3_years_data_until_3871_clean.csv,RandomForest,0.7691889419137407,0.3205335336256683,0.1622348154606219,0.33405954974582425,0.20600089565606808,2.059111349172201,0.9205063868613139
3_years_data_until_3871_clean.csv,LogReg,0.770902424947443,0.37019828664656335,0.1622348154606219,0.4103122730573711,0.2530228392297358,2.529125896265856,0.2964230514462354
3_years_data_until_3871_clean.csv,Ensemble,0.756278029788118,0.31334831446242384,0.1622348154606219,0.3493100944081336,0.21540528437080161,2.1531142585909318,0.5492823617440991
3_years_data_no2025_3871_clean.csv,LightGBM,0.5658078905582415,0.3483060875865848,0.21579509071504802,0.41088580576307365,0.1904055390702275,1.904055390702275,0.7874504395793829
3_years_data_no2025_3871_clean.csv,LightGBM-Reg,0.5531223431206107,0.27839838668815553,0.21579509071504802,0.327641408751334,0.15182987141444115,1.5182987141444113,0.3642310146777281
3_years_data_no2025_3871_clean.csv,XGBoost,0.5543027110063661,0.31040136962141657,0.21579509071504802,0.37353255069370334,0.17309594460929772,1.7309594460929774,0.4705821847356511
3_years_data_no2025_3871_clean.csv,CatBoost,0.5775342355483261,0.33656313874025534,0.21579509071504802,0.3810032017075774,0.17655786350148367,1.765578635014837,0.5927508090614887
3_years_data_no2025_3871_clean.csv,RandomForest,0.5499566014989175,0.2981604745902542,0.21579509071504802,0.33084311632870866,0.1533135509396637,1.5331355093966372,0.8913339824732229
3_years_data_no2025_3871_clean.csv,LogReg,0.5583026017024489,0.2849098417685312,0.21579509071504802,0.3084311632870864,0.14292779426310584,1.4292779426310582,0.3033424147783906
3_years_data_no2025_3871_clean.csv,Ensemble,0.5670071375996322,0.33787198333891766,0.21579509071504802,0.3991462113127001,0.18496538081107813,1.8496538081107816,0.5962619265455495
